Pathway,Pathway_SHAP_Contribution
Metabolic Homeostasis,0.10744206248590168
Signaling Pathway,0.08757542143418641
Developmental Biology,0.041310826348348206
Hemostasis,0.040113185687726115
Signal Transduction,0.03612328398236978
Disease,0.029271565391529974
Metabolism,0.023300163480180627
Innate Immune System,0.01713512097126388
Signaling by NOTCH,0.014474081784590698
Cell-Cell communication,0.01060009750544758
Degradation of the extracellular matrix,0.008751856057297582
Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),0.005895594018165654
PIP3 activates AKT signaling,0.0040498351384400414
Cytokine Signaling in Immune system,0.004023560545100096
Signaling by Activin,0.0036143131923425946
Cellular responses to stress,0.003245692513436789
Transport of small molecules,0.002942330700152546
Regulation of gene expression by Hypoxia-inducible Factor,0.002940038431304039
Striated Muscle Contraction,0.0019641805595079437
Olfactory Signaling Pathway,0.0006164880813180849
Displacement of DNA glycosylase by APEX1,0.000545646367644152
Generic Transcription Pathway,0.0005339291244173768
Muscle contraction,0.0003653482697550468
Prolactin receptor signaling,0.0
Post-translational modification: synthesis of GPI-anchored proteins,0.0
ABC transporters in lipid homeostasis,0.0
SLBP independent Processing of Histone Pre-mRNAs,0.0
Sensory processing of sound,0.0
Stimuli-sensing channels,0.0
Transcription of E2F targets under negative control by DREAM complex,0.0
Translesion synthesis by REV1,0.0
"Plasma lipoprotein assembly, remodeling, and clearance",0.0
Metabolism of proteins,0.0
PI3K Cascade,0.0
Extracellular matrix organization,0.0
Aerobic respiration and respiratory electron transport,0.0
Collagen degradation,0.0
Complement cascade,0.0
ER to Golgi Anterograde Transport,0.0
ER-Phagosome pathway,0.0
Erythrocytes take up carbon dioxide and release oxygen,0.0
Gap junction trafficking and regulation,0.0
Neurotransmitter receptors and postsynaptic signal transmission,0.0
HIV Life Cycle,0.0
Major pathway of rRNA processing in the nucleolus and cytosol,0.0
Membrane Trafficking,0.0
Adaptive Immune System,0.0
Neuronal System,0.0
Neurotransmitter clearance,0.0
mRNA Editing: A to I Conversion,0.0
