Gene,Mean_Abs_SHAP
TACC1,0.027951786182199335
RAMP2,0.024439963750617376
LDB2,0.018610358983317317
EDNRB,0.01783293612667359
FHL5,0.017423355751594025
A2M,0.015015402821139369
NOTCH4,0.014474081784590698
ZNF106,0.013267534282470092
CAT,0.01308498558826099
PTRF,0.013029958948379758
HOXA5,0.011701089001122907
FOXF1,0.01027961431983807
FXYD6,0.009586191605581952
METTL7A,0.008778059219145777
SPP1,0.008751856057297582
STX12,0.008553585465979563
TEK,0.008361168678663673
SYNM,0.008336806292086232
UPK3B,0.00823128657524675
FXYD1,0.00809123757073705
ALDH18A1,0.007724504276562647
SFTPC,0.007434820991173936
EMCN,0.006902741137450839
LIMS2,0.006899337613753978
AGTR1,0.006825952776079416
CD36,0.006182520351563497
SPARCL1,0.005895594018165654
KIAA1462,0.005486068652284039
CAV1,0.005274465275672674
SLIT3,0.005056564255975783
AOC3,0.004705214429207792
ASPA,0.00468774565464233
TNXA /// TNXB,0.004639706524587301
LOC101927458 /// LPHN2,0.004639391116157651
TCF21,0.0046135033627391075
AHNAK,0.004610883046554284
ACADL,0.004551489213031706
FZD4,0.004444056249454104
FEZ1,0.004367193641366059
COX7A1,0.004216498165778673
DOCK4,0.0042064809153637885
ADAMTSL3,0.004159315224037035
KANK2,0.004155121725597313
GMFG,0.004050135383002886
IRAK1,0.0040498351384400414
AGER,0.004023560545100096
STXBP6,0.003746178705563809
CLDN5,0.0037007598916936023
TGFBR3,0.0036143131923425946
WFS1,0.003245692513436789
ABCA8,0.002942330700152546
EPAS1,0.002940038431304039
CLEC3B /// EXOSC7,0.002809611947856686
DPYSL2,0.0026907876632884325
AKAP2 /// PALM2-AKAP2,0.002483361941616313
HMGB3,0.002452317893385871
SVEP1,0.002379436973800638
TNNC1,0.0019641805595079437
GIMAP6,0.0018377690608374626
INPP5A,0.0016312099067361534
FAM189A2,0.0016068245340998422
LAMP3,0.0014447550004367193
CFD,0.0010731476453231161
TAL1,0.0006916093365462167
REEP1,0.0006164880813180849
APEX1,0.000545646367644152
PMP22,0.0005428164802474396
RASL12,0.0005353014819343755
LMO2,0.0005339291244173768
SDPR,0.0004234964722780256
ACKR4,0.0004133112062188836
LMOD1,0.0003653482697550468
CLIC5,0.0
SYNC,0.0
GATA6,0.0
LINC00312,0.0
NFASC,0.0
SOSTDC1,0.0
SLIT2,0.0
SASH1,0.0
KANK3,0.0
FMO2,0.0
STARD13,0.0
HSPB8,0.0
GABARAPL1 /// GABARAPL3,0.0
MYH10,0.0
ARHGEF26,0.0
SECISBP2L,0.0
ACVRL1,0.0
TENC1,0.0
PPP1R14B,0.0
MFAP4,0.0
ANKS1A,0.0
RASIP1,0.0
DLC1,0.0
HYAL1,0.0
HEG1,0.0
CBX7,0.0
TTC28,0.0
LRRC59,0.0
CASKIN2,0.0
LAMC3,0.0
GFOD1,0.0
LRRC36,0.0
CLDN18,0.0
MRPS33,0.0
LHFP,0.0
LEPREL1,0.0
RGCC,0.0
C14orf132,0.0
SFTPA1 /// SFTPA2,0.0
ARAP3,0.0
MRPS17,0.0
C1orf106,0.0
RAI2,0.0
LYVE1,0.0
ITIH5,0.0
MMRN2,0.0
PID1,0.0
PDLIM2,0.0
JAM2,0.0
TRPV2,0.0
TMEM204,0.0
KLF2,0.0
NRN1,0.0
LMCD1,0.0
WDR12,0.0
SEMA3G,0.0
SFTPD,0.0
MIR22 /// MIR22HG,0.0
SEMA6A,0.0
GGCT,0.0
OLFML1,0.0
HN1,0.0
GOLM1,0.0
HIGD1B,0.0
TBX3,0.0
GREM1,0.0
LINC00341 /// SYNE3,0.0
BZW2,0.0
MIF,0.0
DPEP2,0.0
FAM65A,0.0
GALNT7,0.0
LRRN3,0.0
SESN1,0.0
GAS6,0.0
TBX5,0.0
BOLA2 /// BOLA2B,0.0
MRPL12,0.0
PAFAH1B3,0.0
SNRPE,0.0
CAV2,0.0
LPL,0.0
ADIRF,0.0
CD302 /// LY75 /// LY75-CD302,0.0
LRRC32,0.0
GAB2,0.0
ADARB1,0.0
THBD,0.0
FABP4,0.0
FBLN5,0.0
KDELR3,0.0
MEIS1,0.0
FRY,0.0
PDE2A,0.0
CDO1,0.0
COL11A1,0.0
ABCA3,0.0
TIE1,0.0
FGFR4,0.0
MMP12,0.0
KIAA0040,0.0
THBS2,0.0
CHRDL1,0.0
PODXL,0.0
SPTBN1,0.0
TPI1,0.0
HLA-E,0.0
SERPING1,0.0
PAICS,0.0
ENO1,0.0
TOP2A,0.0
GPX3,0.0
FHL1,0.0
NME1,0.0
ICMT,0.0
PPM1F,0.0
ST14,0.0
TSPAN7,0.0
CTNNAL1,0.0
H2AFV,0.0
GNAQ,0.0
PKIG,0.0
ITM2A,0.0
SYNPO,0.0
CD93,0.0
CD97,0.0
S1PR1,0.0
GJA4,0.0
SRPX,0.0
ATIC,0.0
HYAL2,0.0
CDH19,0.0
SMAD6,0.0
LDHA,0.0
SGCG,0.0
MACF1,0.0
FAM107A,0.0
PDIA6,0.0
LSR,0.0
TTN,0.0
MDK,0.0
EMP2,0.0
GPM6B,0.0
CRYAB,0.0
ID4,0.0
GPM6A,0.0
PDZD2,0.0
RPA3,0.0
PPAP2C,0.0
ARHGEF6,0.0
ADH1B,0.0
CES1 /// LOC100653057,0.0
FIGF /// PIR-FIGF,0.0
RCC1,0.0
CA4,0.0
ADRB2,0.0
NPM3,0.0
KAL1,0.0
KCNJ8,0.0
RAMP3,0.0
SEMA5A,0.0
RECK,0.0
BCHE,0.0
DACH1,0.0
GHR,0.0
ARHGEF15,0.0
DNASE1L3,0.0
ANGPT1,0.0
PIP5K1B,0.0
PCDH17,0.0
PTPRB,0.0
FCN3,0.0
COL10A1,0.0
KCNK3,0.0
KL,0.0
SELP,0.0
ARHGAP6,0.0
OR7E47P,0.0
